Value,area,type,country,percent,id,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
71810,0.032399829,artificial,IRAQ,2.376748106,1,,,0.002310188,,,0.004620375,,,,,,,,,,,,,,,,,,,,,,,,,
248453,0.117302619,dam,IRAN,3.866146078,2,,,,,,,,,,,,,0.000770063,0.004620375,,0.02772225,0.088557188,0.00308025,0.072385875,0.075466125,0.079316438,0.086247,0.072385875,0.087017063,0.087017063,0.097027875,0.098568,0.099338063,0.07700625,0.100878188,0.107038688
85603,0.117152736,dam,TURKEY,-0.82815204,2,,,,,,,,,0.091637438,0.1170495,0.114739313,0.094717688,0.1170495,0.109348875,0.086247,0.066995438,0.112429125,0.09548775,0.102418313,0.115509375,0.102418313,0.085476938,0.047743875,0.029262375,,0.100108125,0.088557188,0.084706875,0.086247,0.110118938,0.094717688
151282,0.116893031,dam,TURKEY,-0.041922058,2,,,,,,,,,,,,,,,,,,,,,0.019251563,0.109348875,0.10164825,0.08932725,0.109348875,0.078546375,0.08316675,0.072385875,0.096257813,0.084706875,0.053134313
247654,0.032362182,artificial,IRAN,11.89756623,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000770063,0.004620375
92223,0.03231981,artificial,TURKEY,3.006271928,1,0.010780875,,,,,,,,,,,,,,,0.008470688,0.022331813,0.022331813,0.024642,0.024642,0.033112688,0.033112688,0.033112688,0.033112688,0.033112688,0.036192938,0.034652813,0.034652813,0.034652813,0.036192938,0.028492313
90152,0.03231094,artificial,TURKEY,9.771476993,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017711438,0.019251563,0.020791688,0.02772225
79550,0.032294646,artificial,SYRIAN ARAB REPUBLIC,-0.659992684,1,0.029262375,0.029262375,0.029262375,0.029262375,0.029262375,0.029262375,0.029262375,0.029262375,0.011550938,0.005390438,0.037733063,0.012321,0.034652813,0.035422875,0.017711438,0.03388275,0.036192938,0.037733063,0.03388275,0.036192938,0.036192938,,,,0.0184815,0.010780875,0.001540125,0.028492313,0.028492313,0.026952188,0.012321
58078,0.032249097,artificial,IRAQ,-0.46516706,1,,,,,,,,,,,,,,0.003850313,0.003850313,0.003850313,,,,,,,,,0.002310188,,,,,,
105043,0.032246113,artificial,TURKEY,3.644962024,1,,,,,,,,,,,,,0.016941375,0.016171313,0.020021625,0.02156175,0.020021625,0.020021625,0.020791688,0.020021625,0.025412063,0.023101875,0.026182125,0.026182125,0.026182125,0.02156175,0.005390438,0.040813313,0.04004325,0.042353438,0.043893563
165345,0.032210205,artificial,GEORGIA,-0.239074233,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029262375,0.031572563,0.032342625,0.0308025,0.029262375
86703,0.116815612,dam,IRAN,15.86817392,2,,,,,,,,,,,,,,,,,,,,,,,,,0.016171313,0.016171313,0.087787125,0.103958438,0.110889,0.109348875,0.119359688
17374,0.032195821,artificial,AZERBAIJAN,-0.018456812,1,,0.023101875,0.016941375,0.012321,0.036192938,0.010780875,0.010780875,0.010780875,0.017711438,0.033112688,0.039273188,0.037733063,0.037733063,0.036963,0.035422875,0.019251563,0.004620375,0.00308025,0.039273188,0.033112688,0.034652813,0.03388275,0.0308025,0.039273188,0.031572563,0.024642,0.028492313,0.017711438,0.022331813,0.020791688,0.006930563
95731,0.116679966,dam,TURKEY,-0.092605643,2,,,,,,,,,0.01540125,0.133990875,0.1416915,0.1416915,0.1416915,0.137071125,0.1416915,0.140921438,0.137071125,0.139381313,0.12321,0.137071125,0.12321,0.137071125,0.137071125,0.13245075,0.137071125,0.136301063,0.118589625,0.12629025,0.110118938,0.099338063,0.094717688
85732,0.116401143,dam,TURKEY,-0.627192508,2,,,,,,,,,,,0.011550938,0.006930563,0.149392125,0.148622063,0.154782563,0.157862813,0.15093225,0.12321,0.148622063,0.121669875,0.155552625,0.135531,0.130910625,0.136301063,0.125520188,0.123980063,0.117819563,0.083936813,0.083936813,0.06468525,0.048513938
96997,0.116347022,dam,TURKEY,0.678066466,2,,,,,,,,,,,,,,,,,,,,0.100878188,0.119359688,0.120899813,0.122439938,0.122439938,0.121669875,0.121669875,0.121669875,0.113199188,0.122439938,0.12321,0.121669875
104735,0.116296254,dam,TURKEY,-0.707249896,2,,,,,,0.136301063,0.136301063,0.136301063,0.136301063,0.13861125,0.135531,0.120899813,0.140151375,0.13861125,0.140151375,0.140151375,0.13861125,0.134760938,0.13861125,0.139381313,0.136301063,0.12629025,0.114739313,0.122439938,0.115509375,0.147081938,0.135531,0.124750125,0.133990875,0.106268625,0.108578813
81477,0.032172944,artificial,IRAN,0.151650934,1,,,,,,,,,,,,,,0.000770063,,0.000770063,0.000770063,,,,,,,,0.000770063,,,,,0.000770063,0.002310188
154502,0.1161801,dam,TURKEY,0.655613365,2,,,,,,,,,0.106268625,0.110889,0.111659063,0.109348875,0.056984625,0.110118938,0.090097313,0.110118938,0.1047285,0.097797938,0.10164825,0.087787125,0.102418313,0.106268625,0.08932725,0.107038688,0.110118938,0.099338063,0.115509375,0.12629025,0.125520188,0.114739313,0.112429125
248802,0.032171451,artificial,IRAN,-0.565187681,1,0.016171313,0.016171313,0.016171313,0.016171313,0.016171313,0.016171313,0.016171313,0.016171313,0.016171313,0.016171313,0.016171313,0.016171313,0.01540125,0.016171313,0.016171313,0.01540125,0.01540125,0.008470688,0.006930563,,0.013861125,0.011550938,0.006930563,0.006930563,0.011550938,0.00924075,0.007700625,0.012321,0.013091063,0.016171313,0.020021625
101965,0.116155967,dam,TURKEY,2.939901912,2,,,,,,,,,0.073926,0.119359688,0.13861125,0.090867375,0.053904375,,0.005390438,,,,,,0.123980063,0.184044938,0.172494,0.188665313,0.1909755,0.184815,0.189435375,0.162483188,0.136301063,0.109348875,0.078546375
101230,0.03216999,artificial,AZERBAIJAN,0.45467485,1,,0.026952188,0.026952188,0.028492313,0.028492313,0.028492313,0.028492313,0.028492313,0.028492313,0.028492313,0.02772225,0.026182125,0.026952188,0.026952188,0.026182125,0.012321,0.024642,0.025412063,0.01540125,0.007700625,,0.0061605,0.007700625,0.010780875,0.02156175,0.012321,0.026952188,0.020021625,0.019251563,0.031572563,0.010010813
151816,0.116118617,dam,TURKEY,-8.223293833,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.148622063,0.147852,0.13861125,0.124750125,0.112429125
105840,0.116097458,dam,TURKEY,3.160845094,2,,0.04620375,0.04620375,0.04620375,0.04620375,0.04620375,0.04620375,0.04620375,0.043893563,0.0184815,0.1047285,0.036963,0.048513938,0.022331813,0.051594188,0.051594188,0.010010813,0.008470688,0.076236188,0.106268625,0.106268625,0.10780875,0.10780875,0.080856563,0.014631188,0.096257813,0.124750125,0.122439938,0.123980063,0.127060313,0.133220813
91560,0.032153782,artificial,TURKEY,-1.550157283,1,0.037733063,0.04620375,0.037733063,0.037733063,0.037733063,0.037733063,0.037733063,0.037733063,0.036963,0.032342625,0.036192938,0.0308025,0.036192938,0.036192938,0.036192938,0.029262375,0.029262375,0.026182125,0.028492313,0.026952188,0.026182125,0.026182125,0.030032438,0.0308025,0.0308025,0.022331813,0.0308025,0.029262375,0.020791688,0.02156175,0.025412063
242383,0.115961924,dam,IRAN,0.641386726,2,,,0.005390438,0.00308025,,0.011550938,0.00308025,0.008470688,0.005390438,0.005390438,,,,0.012321,,0.012321,0.006930563,0.010780875,0.010010813,0.007700625,0.00924075,0.013091063,,,,,,,,0.025412063,0.03388275
59613,0.032124933,artificial,IRAN,2.069013783,1,,,,,,,,,,,,,,,,,,,,,0.002310188,0.002310188,,0.002310188,0.002310188,0.000770063,0.003850313,0.003850313,0.005390438,0.0061605,0.010780875
10965,0.032069691,artificial,IRAN,2.879945271,1,,,,,,,,,,,0.035422875,0.033112688,0.035422875,0.0308025,0.035422875,0.011550938,0.02772225,0.035422875,,0.024642,0.034652813,,0.035422875,0.035422875,0.035422875,,0.036963,,,,
100934,0.032056946,artificial,AZERBAIJAN,-0.527415012,1,,0.043893563,0.013091063,0.048513938,0.005390438,0.005390438,0.005390438,0.005390438,0.0061605,0.050824125,0.049284,0.048513938,0.04620375,0.041583375,0.044663625,,0.04620375,,,0.006930563,,0.0308025,,0.025412063,0.020021625,0.048513938,0.0431235,0.036963,0.003850313,,
153154,0.115364708,dam,TURKEY,-0.218799539,2,,0.072385875,0.072385875,0.072385875,0.072385875,0.072385875,0.072385875,0.072385875,0.149392125,0.147852,0.13861125,0.150162188,0.150162188,0.143231625,0.149392125,0.150162188,0.147081938,0.13861125,0.146311875,0.147852,0.149392125,0.13245075,0.103188375,0.112429125,0.108578813,0.121669875,0.145541813,0.127060313,0.116279438,0.134760938,0.125520188
105283,0.035846978,mountain_lake,TURKEY,0.162081797,4,0.016941375,0.016941375,0.016941375,0.016941375,0.016941375,0.016941375,0.016941375,0.016941375,0.017711438,0.017711438,0.016941375,0.013861125,0.013861125,0.01540125,0.01540125,0.014631188,0.012321,0.01540125,0.013091063,0.01540125,0.017711438,0.014631188,0.013861125,0.016941375,0.01540125,0.016941375,0.016941375,0.016941375,0.016941375,0.017711438,0.020021625
151633,0.115225464,dam,TURKEY,2.272251626,2,,,,,,,,,,,,,,,,,,,,,0.003850313,0.083936813,0.078546375,0.07084575,0.060064875,0.043893563,0.069305625,0.068535563,0.068535563,0.078546375,0.07084575
81244,0.032011602,artificial,TURKEY,0.437376909,1,,,,,,,,,0.030032438,0.032342625,0.034652813,0.033112688,0.0308025,0.033112688,0.031572563,0.03388275,0.033112688,0.032342625,0.0308025,0.033112688,0.032342625,0.033112688,0.029262375,0.034652813,0.034652813,0.033112688,0.03388275,0.03388275,0.036192938,0.035422875,0.035422875
